,Positioning time,Fix ratio,Time to first fix [s],X std [cm],Y std [cm],X ave,Y ave
1_aqloc.csv,0 days 00:14:46.500000,0.0,False,False,False,False,False
1_magellan.csv,0 days 00:14:01.600000,0.8422465018209699,122.29999999999563,2.095443011505419,1.4614714020546065,679620.429219101,4122625.291776684
1_magellan_2.csv,0 days 00:05:32.800000,0.5969938938468765,125.79999999999563,1.8700478867573687,2.1365883286120755,679620.4302874296,4122625.2877330794
1_ntrip_2.csv,0 days 00:07:11.700000,0.9434482758620689,106.59999999999854,1.6637950688663983,1.4566160627077227,679619.8666816446,4122625.3980783983
1_radio.csv,0 days 00:14:04.200000,0.8704692865318581,9.30000000000291,2.2200170295193757,2.855040253457758,679619.4691551969,4122625.672850882
2_aqloc.csv,0 days 00:06:57.800000,0.9280635717273108,4.400000000001455,55.580423290120564,12.339044367718582,679623.3024509907,4122560.655885914
2_magellan.csv,0 days 00:06:54.100000,0.6246775580395528,118.69999999999709,0.7785025457104795,1.758781010526898,679622.9473576914,4122560.685676143
2_ntrip.csv,0 days 00:05:25.100000,0.8966357874207703,21.299999999995634,0.5471544970394904,0.8455944411277965,679622.4020337019,4122560.814773123
2_radio.csv,0 days 00:00:37.200000,1.0,0.0,0.9365269529419136,0.46122910889585506,679621.986553599,4122561.0829840614
3_aqloc.csv,0 days 00:04:38.900000,0.9628930817610063,5.900000000001455,0.678829423533806,0.9343397092151663,679579.3134419516,4122504.2101593805
3_magellan.csv,0 days 00:04:36.100000,0.45774647887323944,164.6999999999971,0.261030415442403,0.8021603623712219,679579.3125233849,4122504.200222707
3_ntrip.csv,0 days 00:03:00,1.0,0.0,1.2238765211503986,1.9969139070793278,679578.786839703,4122504.2928855475
3_radio.csv,0 days 00:03:38.700000,0.9257925072046109,10.30000000000291,0.40137798969619787,0.6198207598004646,679578.3524250396,4122504.5866610236
4_aqloc.csv,0 days 00:05:23.500000,0.7107072691552063,14.30000000000291,45.53227244111722,36.49729513738388,679546.2175717315,4122485.083509056
4_aqloc_2.csv,0 days 00:05:44.200000,0.5501899077590885,162.90000000000146,1.9907215629180801,1.7983626007935047,679545.9250153947,4122484.8408387476
4_magellan.csv,False,0.0,False,False,False,False,False
4_magellan_2.csv,0 days 00:04:43.600000,0.0,False,False,False,False,False
4_ntrip.csv,0 days 00:05:15.100000,0.0,False,False,False,False,False
4_radio.csv,0 days 00:04:54.900000,0.892,58.900000000001455,1.3015189222955452,1.2463508203621065,679544.9694795251,4122485.21422591
5_aqloc.csv,0 days 00:04:19.900000,0.36357142857142855,169.09999999999854,1.1577765078648796,1.3615397887828997,679505.7339144829,4122487.0466906196
5_aqloc_2.csv,0 days 00:03:36.800000,0.49159970781592405,96.80000000000291,2.401034390365676,2.063132146076018,679505.7365908466,4122487.018482775
5_magellan.csv,0 days 00:04:11.400000,0.4600760456273764,151.0,1.614207684549655,1.2740476173288653,679505.7382156965,4122487.04829685
5_magellan_2.csv,0 days 00:03:28.600000,0.5353535353535354,99.79999999999563,1.361141641536045,1.7579846164950057,679505.7618640498,4122487.031837386
5_ntrip_2.csv,0 days 00:03:20.200000,0.9076539101497504,11.19999999999709,1.2655166999487097,1.5198925178245315,679505.2018927009,4122487.146827104
5_radio.csv,0 days 00:03:32.300000,0.9123204837490552,11.700000000004366,2.0511756970046324,1.5296901533800396,679504.7779757489,4122487.4148677913
6_aqloc.csv,0 days 00:06:41.800000,0.91649441918148,6.599999999998545,74.29699606262479,80.19905682118338,679525.7256166779,4122593.9896634747
6_aqloc_2.csv,0 days 01:39:50,0.9032875282657854,109.5,3.8068703370334154,3.079980346645851,679525.1121718116,4122594.623068537
6_aqloc_3.csv,0 days 00:03:52.600000,0.297969875573019,146.5,1.5667835943102146,1.5920520945228869,679525.1647523198,4122594.611195435
6_aqloc_4.csv,0 days 00:04:43,0.21275291232372778,208.39999999999418,1.4033084543921122,2.147786593197802,679525.1577025965,4122594.568464027
6_magellan.csv,0 days 00:06:36.500000,0.38266384778012685,225.5,1.860832135857376,1.2641047122056155,679525.1226162176,4122594.635110266
6_magellan_2.csv,0 days 01:39:59.700000,0.23502576666385064,1399.699999999997,1.734201002763484,2.440059716001595,679525.1471127226,4122594.630630929
6_magellan_3.csv,0 days 00:00:07.500000,0.0,False,False,False,False,False
6_magellan_4.csv,0 days 00:04:40.900000,0.5937888198757764,105.40000000000873,1.5842060780272185,2.268789454310699,679525.1628024892,4122594.5946975593
6_ntrip.csv,0 days 00:07:58.200000,0.15319148936170213,402.3000000000029,1.3350246954867278,1.810776988353378,679524.5936375172,4122594.7062549843
6_radio_2.csv,0 days 00:06:25.100000,0.0,False,False,False,False,False
6_radio_3.csv,0 days 00:03:32.300000,0.6976568405139834,40.10000000000582,1.365322653838654,1.7836788873553937,679524.200047223,4122594.945504218
6_radio_4.csv,0 days 00:04:35.400000,0.9131832797427653,13.5,1.266002110186493,1.6219398837188097,679524.1892761652,4122594.9651444596
7_aqloc.csv,0 days 00:03:14.500000,0.9511343804537522,5.600000000005821,2.4356892395097014,10.020763791176623,679568.9947868233,4122618.5085533196
7_aqloc_2.csv,0 days 00:03:40.100000,0.9379457917261056,8.69999999999709,1.8286403619243254,1.5039034738948116,679568.9791506507,4122618.522936999
7_magellan.csv,0 days 00:02:20.600000,0.3644488579940417,104.0,1.194958073545877,1.3664624975136674,679568.9829441325,4122618.503822991
7_magellan_2.csv,0 days 00:03:30.500000,0.6186830015313936,89.80000000000291,0.9200217883089362,1.5333683754780094,679568.980392765,4122618.52468977
