
[2021-02-22 15:40:36.876] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.907] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.907] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:40:36.923] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:40:36.923] $GPGGA,,,,,,,,,,M,,M,,*56
