
[2021-02-22 15:22:38.253] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.285] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.285] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
[2021-02-22 15:22:38.316] $GPVTG,,T,,M,,N,,K,N*2C
[2021-02-22 15:22:38.316] $GPGGA,,,,,,,,,,M,,M,,*56
