,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
383,[2021-02-22 15:01:51.698] $GPGGA,60151.3,3713.906666,N,13701.45946,E,4,7.0,1.4,91.561,M,36.77,M,2.3,0000*7F,37.23177776666666,137.02432433333334,679578.3377040689,4122504.5945759877
384,[2021-02-22 15:01:51.807] $GPGGA,60151.4,3713.906666,N,13701.45946,E,4,7.0,1.4,91.56200000000001,M,36.77,M,2.4,0000*71,37.23177776666666,137.02432433333334,679578.3377040689,4122504.5945759877
385,[2021-02-22 15:01:51.901] $GPGGA,60151.5,3713.906667,N,13701.45946,E,4,7.0,1.4,91.561,M,36.77,M,2.5,0000*76,37.23177778333334,137.02432433333334,679578.3376645208,4122504.5964252627
386,[2021-02-22 15:01:52.010] $GPGGA,60151.6,3713.906669,N,13701.45946,E,4,7.0,1.4,91.566,M,36.77,M,2.6,0000*72,37.231777816666664,137.02432433333334,679578.3375854247,4122504.6001238055
387,[2021-02-22 15:01:52.104] $GPGGA,60151.7,3713.906669,N,13701.45946,E,4,7.0,1.4,91.557,M,36.77,M,2.7,0000*77,37.231777816666664,137.02432433333334,679578.3375854247,4122504.6001238055
388,[2021-02-22 15:01:52.213] $GPGGA,60151.8,3713.906665,N,13701.45946,E,4,7.0,1.4,91.565,M,36.77,M,2.8,0000*74,37.23177774999999,137.02432433333334,679578.337743617,4122504.5927267172
389,[2021-02-22 15:01:52.307] $GPGGA,60151.9,3713.906667,N,13701.45946,E,4,7.0,1.4,91.55799999999999,M,36.77,M,2.9,0000*7A,37.23177778333334,137.02432433333334,679578.3376645208,4122504.5964252627
390,[2021-02-22 15:01:52.416] $GPGGA,60152.0,3713.906667,N,13701.45946,E,4,7.0,1.4,91.56299999999999,M,36.77,M,3.0,0000*77,37.23177778333334,137.02432433333334,679578.3376645208,4122504.5964252627
391,[2021-02-22 15:01:52.494] $GPGGA,60152.1,3713.906669,N,13701.45946,E,4,7.0,1.4,91.56200000000001,M,36.77,M,3.1,0000*75,37.231777816666664,137.02432433333334,679578.3375854247,4122504.6001238055
392,[2021-02-22 15:01:52.619] $GPGGA,60152.2,3713.906668,N,13701.45946,E,4,7.0,1.4,91.564,M,36.77,M,3.2,0000*7F,37.231777799999996,137.02432433333334,679578.3376249728,4122504.598274533
